Td	ID	Tj	Df	Dd	Db	
1078	2875	1069	0	9	9
1078	2873	1069	0	9	9
1079	2860	1057	0	22	22
1079	811	920	50	109	159
1082	2881	1073	0	9	9
1082	2864	1060	0	22	22
1088	2878	1071	0	17	17
1089	2266	314	31	744	775
1089	286	292	22	775	797
1089	652	719	49	321	370
1089	765	859	55	175	230
1089	467	491	33	565	598
1089	346	362	16	711	727
1091	745	829	106	156	262
1092	2524	642	58	392	450
1093	2896	1088	0	5	5
1095	2893	1084	0	11	11
1096	2895	1088	0	8	8
1096	2890	1082	0	14	14
1098	2888	1082	0	16	16
1098	2898	1091	0	7	7
1099	2886	1077	0	22	22
1100	2321	383	35	682	717
1101	2134	162	15	924	939
1102	2903	1097	0	5	5
1104	751	840	52	212	264
1106	2346	423	36	647	683
1106	2904	1097	0	9	9
1108	2380	461	35	612	647
1110	797	900	54	156	210
1112	2916	1107	0	5	5
1113	2540	656	59	398	457
1113	2910	1103	0	10	10
1114	2251	297	26	791	817
1114	2354	428	36	650	686
1115	2918	1108	0	7	7
1115	2909	1103	0	12	12
1116	2925	1110	0	6	6
1117	2693	857	79	181	260
1119	2386	466	36	617	653
1121	2917	1107	0	14	14
1121	624	686	41	394	435
1122	2920	1108	0	14	14
1124	2416	505	49	570	619
1128	2933	1122	0	6	6
1129	2550	667	59	403	462
1130	2171	201	19	910	929
1131	2939	1126	0	5	5
1134	2945	1131	0	3	3
1138	2947	1131	0	7	7
1138	744	828	105	205	310
1139	2953	1137	0	2	2
1142	2456	563	52	527	579
1143	2654	799	80	264	344
1148	2559	676	62	410	472
1154	2394	477	40	637	677
1156	2952	1137	0	19	19
1157	2954	1140	0	17	17
1159	2959	1143	1	15	16
1161	2967	1151	1	9	10
1161	892	1016	54	91	145
1162	2661	809	80	273	353
1163	2568	681	62	420	482
1165	2957	1143	0	22	22
1169	2309	376	32	761	793
1171	2966	1151	3	17	20
1173	2973	1168	2	3	5
1178	2314	377	34	767	801
1178	2513	632	58	488	546
1182	2674	824	79	279	358
1184	2676	825	79	280	359
1184	2577	693	62	429	491
1184	921	1044	51	89	140
1184	841	940	49	195	244
1185	2607	756	69	360	429
1186	2317	379	34	773	807
1186	2970	1158	2	26	28
1190	788	890	106	194	300
1192	2441	529	53	610	663
1195	2296	346	35	814	849
1196	2974	1168	1	27	28
1196	2972	1168	0	28	28
1198	610	673	88	437	525
1202	2402	490	43	669	712
1204	2976	1172	0	32	32
1205	2375	457	36	712	748
1205	2687	843	80	282	362
1207	2688	843	81	283	364
1209	2234	267	25	917	942
1212	967	1082	46	84	130
1221	2986	1197	0	24	24
1221	829	934	50	237	287
1227	2697	860	80	287	367
1229	2984	1197	0	32	32
1230	2589	723	64	443	507
1232	2638	788	74	370	444
1233	3000	1207	0	26	26
1236	2999	1207	0	29	29
1240	2387	470	37	733	770
1241	2286	329	35	877	912
1246	2557	671	60	515	575
1247	947	1067	47	133	180
1249	653	719	49	481	530
1252	2769	959	92	201	293
1255	2260	306	28	921	949
1258	2566	678	62	518	580
1259	2772	966	92	201	293
1261	2774	967	93	201	294
1263	2426	518	52	693	745
1264	665	730	90	444	534
1266	2508	623	58	585	643
1268	2783	974	91	203	294
1273	824	929	102	242	344
1282	779	884	160	238	398
1283	923	1045	51	187	238
1287	2720	903	84	300	384
1287	846	944	49	294	343
1290	2474	580	54	656	710
1291	925	1050	52	189	241
1298	885	1005	53	240	293
1301	2265	314	31	956	987
1304	2616	763	71	470	541
1306	802	907	105	294	399
1308	2320	382	35	891	926
1311	2342	418	34	859	893
1315	864	970	53	292	345
1318	965	1081	45	192	237
1319	908	1027	55	237	292
1322	2271	318	34	970	1004
1331	2742	932	88	311	399
